date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200320,SD,14,663,270,null,1,947,2020-03-20 20:00:00,677,46,0,0,112,3,115
20200318,ID,9,459,null,null,null,468,2020-03-18 20:00:00,468,16,0,0,113,2,115
20200314,CO,101,610,null,null,1,711,2020-03-14 20:00:00,711,8,1,0,86,29,115
20200318,LA,240,335,null,null,6,575,2020-03-18 20:00:00,575,22,2,0,49,69,118
20200317,OR,47,689,184,null,null,920,2020-03-17 20:00:00,736,41,0,0,110,8,118
20200322,ND,28,1260,null,3,0,1288,2020-03-22 20:00:00,1288,38,0,0,119,0,119
20200314,NH,7,212,31,null,null,250,2020-03-14 20:00:00,219,33,0,0,118,1,119
20200313,MA,123,92,null,null,null,215,2020-03-13 20:00:00,215,25,0,0,92,28,120
20200324,WY,29,710,null,null,null,739,2020-03-24 20:00:00,739,56,0,0,118,3,121
20200319,NH,39,621,231,null,null,891,2020-03-19 20:00:00,660,33,0,0,108,13,121
20200315,VT,4,348,null,null,null,352,2020-03-15 20:00:00,352,50,0,0,121,0,121
20200326,AR,335,1504,0,41,3,1839,2020-03-26 20:00:00,1839,5,1,19,67,55,122
20200324,OH,564,140,null,145,8,704,2020-03-24 20:00:00,704,39,2,41,0,122,122
20200321,NE,38,356,null,null,0,394,2020-03-21 20:00:00,394,31,0,0,116,6,122
20200322,OK,67,669,102,11,2,838,2020-03-22 20:00:00,736,40,1,1,109,14,123
20200318,MS,34,479,null,null,null,513,2020-03-18 20:00:00,513,28,0,0,111,13,124
20200311,CO,28,251,null,null,null,279,2020-03-11 20:00:00,279,8,0,0,109,16,125
20200316,TN,52,270,null,null,null,322,2020-03-16 20:00:00,322,47,0,0,113,13,126
20200325,OK,164,805,null,59,5,969,2020-03-25 20:00:00,969,40,2,34,70,58,128
20200318,CA,611,7981,null,null,13,8592,2020-03-18 20:00:00,8592,6,2,0,0,128,128
20200329,PR,127,841,817,null,5,1785,2020-03-29 20:00:00,968,72,2,0,102,27,129
20200321,KY,54,714,null,null,2,768,2020-03-21 20:00:00,768,21,1,0,122,7,129
20200320,NH,44,745,631,null,null,1420,2020-03-20 20:00:00,789,33,0,0,124,5,129
20200322,NV,190,2448,null,null,2,2638,2020-03-22 20:00:00,2638,32,0,0,64,66,130
20200317,NJ,267,163,55,null,3,485,2020-03-17 20:00:00,430,34,1,0,43,89,132
